Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_1,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_2_x,hazard_2_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,global_collision_flag,time_to_collision_flag
190.767,-10.0497,-0.00789788,1882.0,-8.91546,-0.00165807,-0.473068,-0.124532,1410.22,6.61784e-05,-0.472975,172.329,0.0425453,-0.00165807,0.102718,-0.00179375,-0.00312006,5.07659,-0.00730092,-10.0493,-0.0223523,5.07678,-0.124532,-0.00802656,-0.0744394,0.0,0.361941,-3.42,0.0,-1.0,0.136157,0.00668402,-0.00172713,1310.5,44.4599,0.0,0.0,0.0,0.0,65.9534,0.000153623,65.9534,0.0,-0.00540149,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.677562271855013,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.991290807739442,-0.1316910569905362,1883.496127067347,-9.318712772279705,-0.124532,True,2.352000000000004
190.783,-10.0177,0.0406263,1882.02,-8.91554,-0.00167146,-0.473135,-0.125727,1414.92,-0.000477932,-0.473041,172.11,0.0364288,-0.00167146,4.13313,0.000182924,-0.00311775,5.09353,-0.00734636,-10.0173,0.0261762,5.09371,-0.125727,1.84729,-0.0748275,0.0,0.365232,-3.438,0.0,-1.0,0.136228,0.00662887,-0.00158286,1310.51,44.7569,0.0,0.0,0.0,0.0,65.9538,0.000140396,65.9538,0.0,-0.00495026,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.65759974220783,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.9912935541626704,-0.1316703819222093,1883.5161186565056,-9.318823976442305,-0.125727,True,2.3360000000000127
190.799,-9.98356,0.00869957,1882.05,-8.91562,-0.00168951,-0.473285,-0.126927,1419.69,0.000320104,-0.473192,171.807,0.0312256,-0.00168951,1.26647,-0.00131991,-0.00311627,5.1107,-0.00744357,-9.98311,-0.00584288,5.11088,-0.126927,0.183262,-0.0755029,0.0,0.361941,-3.456,0.0,-1.0,0.136301,0.00657531,-0.00145873,1310.51,45.0503,0.0,0.0,0.0,0.0,65.9541,0.000128881,65.9541,0.0,-0.00456203,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.627658735504625,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.9912963116432856,-0.1316496202896835,1883.546110209818,-9.31893531098972,-0.126927,True,2.319999999999993
190.815,-9.99836,0.0217502,1882.07,-8.91571,-0.00170267,-0.473494,-0.128139,1424.49,-0.000412654,-0.4734,171.875,0.0289942,-0.00170267,2.22584,-5.70098e-05,-0.00311667,5.12797,-0.00748498,-9.99797,0.00715457,5.12815,-0.128139,0.75379,-0.0758228,0.0,0.365232,-3.465,0.0,-1.0,0.136374,0.00652174,-0.0013346,1310.51,45.3437,0.0,0.0,0.0,0.0,65.9545,0.000117365,65.9545,0.0,-0.0041738,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.60769578009255,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.9912990962573316,-0.1316286509822155,1883.5661016779968,-9.319056958703031,-0.128139,True,2.304000000000002
190.831,-9.97347,0.0342675,1882.09,-8.91579,-0.00170233,-0.47373,-0.129362,1429.33,-0.000340941,-0.473636,171.504,0.0276096,-0.00170233,3.29155,0.00197834,-0.0031173,5.14539,-0.00757002,-9.97309,0.0195927,5.14558,-0.129362,0.28451,-0.0765913,0.0,0.375106,-3.474,0.0,-1.0,0.136447,0.00646851,-0.00121611,1310.51,45.637,0.0,0.0,0.0,0.0,65.9549,0.000106538,65.9549,0.0,-0.00380323,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.587733570446098,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.9913019056946476,-0.131607491299547,1883.586093068063,-9.319168893465118,-0.129362,True,2.288000000000011
190.847,-9.92401,0.0119412,1882.11,-8.91588,-0.00168942,-0.473984,-0.130591,1434.25,-2.08905e-05,-0.47389,170.673,0.0267808,-0.00168942,1.62734,0.0010635,-0.00311817,5.16312,-0.0076481,-9.92362,-0.00276071,5.16331,-0.130591,1.10827,-0.0765533,0.0,0.371814,-3.483,0.0,-1.0,0.136522,0.00641634,-0.00111602,1310.51,45.93,0.0,0.0,0.0,0.0,65.9553,9.7955e-05,65.9553,0.0,-0.00349017,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.567770795565863,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.9913047284599844,-0.1315862277477271,1883.6060844152028,-9.31929098471301,-0.130591,True,2.2719999999999914
190.863,-9.9029,0.0265551,1882.14,-8.91596,-0.00167288,-0.474245,-0.131827,1439.24,0.000364072,-0.474151,170.3,0.0257431,-0.00167288,2.69301,0.0016096,-0.00311956,5.18106,-0.00767312,-9.90253,0.0118874,5.18125,-0.131827,0.959725,-0.0771952,0.0,0.375106,-3.492,0.0,-1.0,0.136597,0.00636417,-0.00101592,1310.51,46.223,0.0,0.0,0.0,0.0,65.9556,8.93719e-05,65.9556,0.0,-0.00317711,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.537830421237196,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.9913075668429006,-0.131564843024298,1883.6360757123643,-9.319403258555424,-0.131827,True,2.2560000000000002
190.879,-9.86288,0.0343926,1882.16,-8.91605,-0.0016545,-0.474535,-0.133071,1444.26,-0.00015375,-0.474441,169.863,0.0234247,-0.0016545,3.28362,0.00243546,-0.00312075,5.19915,-0.00767984,-9.86249,0.0198222,5.19934,-0.133071,1.85435,-0.0778298,0.0,0.378397,-3.501,0.0,-1.0,0.136673,0.00631215,-0.000917819,1310.51,46.516,0.0,0.0,0.0,0.0,65.956,8.08789e-05,65.956,0.0,-0.00287031,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.517867877014243,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.9913104231314211,-0.1315433198265984,1883.6560669524936,-9.319525741100446,-0.133071,True,2.240000000000009
190.895,-9.83845,0.0198568,1882.18,-8.91614,-0.00164922,-0.474863,-0.134317,1449.33,0.000371303,-0.474769,169.428,0.0207232,-0.00164922,1.65576,6.46773e-05,-0.0031218,5.21741,-0.00775426,-9.83806,0.00523312,5.2176,-0.134317,0.415113,-0.0777608,0.0,0.378397,-3.51,0.0,-1.0,0.136749,0.00626127,-0.000836101,1310.52,46.8093,0.0,0.0,0.0,0.0,65.9563,7.31239e-05,65.9563,0.0,-0.00261474,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.497905424010636,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.9913132835436078,-0.1315217619635271,1883.6760581778328,-9.31964827567755,-0.134317,True,2.2239999999999895
190.911,-9.85674,0.0409049,1882.21,-8.91623,-0.00164942,-0.475237,-0.135576,1454.46,0.000253344,-0.475143,169.609,0.0175978,-0.00164942,4.5078,0.0019053,-0.00312272,5.23586,-0.00779067,-9.85641,0.0262371,5.23605,-0.135576,2.39643,-0.0786275,0.0,0.381688,-3.51,0.0,-1.0,0.136827,0.00621039,-0.000754383,1310.52,47.1026,0.0,0.0,0.0,0.0,65.9567,6.5369e-05,65.9567,0.0,-0.00235917,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,16.46796488862241,gaze,0.4344019330698189,0.4681795349096529,129.3282738957767,53.16970795490462,917.97951120949,34.72856344395098,-4.500366309295838,-35.86169493295412,0.1034701013653774,0.072250440125064,0.9920049455648762,4.295316696166992,-33.80509794909134,-4.119985077200062,-34.66124834120264,0.1635996228814587,0.0470881916093462,0.9854023876589736,4.352015018463135,0.4617327474298207,-4.310175693247951,-35.26147163707839,0.133534862123418,0.0596693158672051,0.9887036666119248,4.323665857315064,0.8994475668882058,True,0.0,imu,-0.9073977976,-9.7265626808,1.7896731776,1.80204278,1.53225654,-4.10948862,79.8350772,-38.48322840000002,135.9210832,1890.67,-8.57446,True,0.9913161733234036,-0.1314999791157544,1883.706049310904,-9.319771149506655,-0.135576,True,2.2079999999999984
