,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_1,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_4_x,hazard_4_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous
0,228.128,0.121466,0.0374955,4565.91,7.4765,0.00489086,-0.437494,179.797,17507.9,-0.000182112,-0.437409,-0.614741,0.0779034,0.00489086,-0.394101,0.128886,-0.00280149,63.0266,0.00592536,0.121508,0.0374845,63.0284,-180.203,0.774384,0.158937,0.0,0.128276,0.873,0.0,-1.0,-0.146292,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0931326,0.368474,5715.32,-162.57,0.0,1.91e-07,0.0,-4.46e-09,53.3505,-0.0331609,53.3505,0.0,1.4246,1.19809,5.4e-07,4476.3,27.6329,0.0,4.72e-21,0.0,-1.48e-14,0.24637,-5.38e-08,0.24637,0.0,0.000399293,999.0,999.0,999.0,89.90106668582955,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.3,27.6329,False,-0.9983396924455438,-0.057600854921930365,4567.41176209076,7.971182345304999,179.797
1,228.144,0.115978,0.0374714,4565.63,7.47746,0.00691509,-0.436331,179.8,17509.8,-0.000226493,-0.436247,-0.527558,0.0686209,0.00691509,-0.907304,0.123465,-0.00279586,63.0335,0.00519657,0.115987,0.0374619,63.0353,-180.2,-0.211447,0.168784,0.0,0.134858,0.882,0.0,-1.0,-0.147307,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0923802,0.368549,5715.35,-162.806,0.0,1.9e-07,0.0,-4.47e-09,53.3558,-0.0331672,53.3558,0.0,1.42475,1.27256,9.69e-07,4476.3,27.6309,0.0,3.58e-21,0.0,-9.25e-15,0.326791,-1e-07,0.326791,0.0,0.000532082,999.0,999.0,999.0,89.62106572637717,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.3,27.6309,False,-0.9983427070507509,-0.05754858189893659,4567.131736187194,7.972220976706059,179.8
2,228.16,0.133072,0.0417127,4565.35,7.47841,0.00882393,-0.4353,179.803,17511.7,-0.00015604,-0.435216,-0.584656,0.0607881,0.00882393,-0.338472,0.115517,-0.00279088,63.0404,0.00446931,0.133125,0.0417042,63.0422,-180.197,0.218439,0.177836,0.0,0.138149,0.891,0.0,-1.0,-0.148317,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0916278,0.368623,5715.37,-163.042,0.0,1.89e-07,0.0,-4.48e-09,53.361,-0.0331736,53.361,0.0,1.4249,1.34704,1.4e-06,4476.3,27.6288,0.0,2.4400000000000002e-21,0.0,-3.71e-15,0.407212,-1.47e-07,0.407212,0.0,0.000664872,999.0,4.0,999.0,89.34106478326841,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.3,27.6288,False,-0.9983457189189449,-0.057496308718170554,4566.851710279512,7.973249606750705,179.803
3,228.176,0.110626,0.0454474,4565.07,7.47935,0.0106404,-0.434374,179.806,17513.6,-0.000163158,-0.43429,-0.134935,0.0555138,0.0106404,-0.0452142,0.111043,-0.00278676,63.0472,0.00375758,0.110676,0.0454419,63.049,-180.194,0.743825,0.185808,0.0,0.144732,0.9,0.0,-1.0,-0.149322,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0908815,0.368697,5715.4,-163.277,0.0,1.89e-07,0.0,-4.5e-09,53.3662,-0.0331788,53.3662,0.0,1.42504,1.40173,1.95e-06,4476.3,27.6264,0.0,1.930000000000001e-21,0.0,-5.94e-19,0.488532,-2.01e-07,0.488532,0.0,0.000800548,999.0,4.0,999.0,89.06106385633649,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.3,27.6264,False,-0.9983487280501174,-0.05744403537977424,4566.571684367712,7.9742682354387195,179.806
4,228.192,0.13089,0.0464043,4564.79,7.48028,0.0123848,-0.433527,179.809,17515.5,-0.000156779,-0.433443,-0.591551,0.0509212,0.0123848,-0.780436,0.107038,-0.00278291,63.054,0.0030631,0.130894,0.0463979,63.0559,-180.191,-0.0585053,0.192538,0.0,0.148023,0.9,0.0,-1.0,-0.150319,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0901477,0.36877,5715.42,-163.513,0.0,1.88e-07,0.0,-4.51e-09,53.3713,-0.033182,53.3713,0.0,1.42519,1.41664,2.75e-06,4476.3,27.6232,0.0,2.67e-21,0.0,-8.59e-19,0.571659,-2.72e-07,0.571659,0.0,0.00094203,999.0,4.0,999.0,88.78106294541867,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.3,27.6232,False,-0.9983517344442603,-0.05739176188389272,4566.291658451795,7.975276862769886,179.809
5,228.208,0.115501,0.0459697,4564.51,7.48119,0.0140552,-0.432736,179.812,17517.3,-0.000119327,-0.432652,-0.196497,0.0480103,0.0140552,-0.625239,0.103224,-0.00277925,63.0606,0.00239527,0.115507,0.0459654,63.0624,-180.188,-0.371638,0.19813,0.0,0.154605,0.909,0.0,-1.0,-0.151307,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0894138,0.368842,5715.45,-163.749,0.0,1.87e-07,0.0,-4.52e-09,53.3765,-0.0331851,53.3765,0.0,1.42533,1.43154,3.54e-06,4476.3,27.62,0.0,3.4e-21,0.0,-1.12e-18,0.654787,-3.42e-07,0.654787,0.0,0.00108351,999.0,4.0,999.0,88.501062062193,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.3,27.62,False,-0.9983547381013651,-0.05733948823066799,4566.011632531762,7.9762654887439925,179.812
6,228.224,0.113723,0.0507355,4564.23,7.4821,0.0156849,-0.431978,179.815,17519.1,-9.4e-05,-0.431895,-0.0595178,0.0466435,0.0156849,0.0472715,0.100002,-0.00277627,63.0671,0.00174297,0.113756,0.0507334,63.0689,-180.185,0.98638,0.203495,0.0,0.157896,0.909,0.0,-1.0,-0.152286,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0886868,0.368914,5715.48,-163.984,0.0,1.86e-07,0.0,-4.53e-09,53.3815,-0.0331914,53.3815,0.0,1.42547,1.44396,4.42e-06,4476.3,27.6165,0.0,4.1700000000000006e-21,0.0,-1.45e-18,0.737692,-4.17e-07,0.737692,0.0,0.00122621,999.0,4.0,999.0,88.22106118274661,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.3,27.6165,False,-0.9983577390214238,-0.0572872144202438,4565.731606607611,7.977254113360821,179.81500000000003
7,228.24,0.112899,0.0537128,4563.95,7.48299,0.0172569,-0.431242,179.818,17520.9,-0.000111672,-0.431159,-0.0490494,0.0455038,0.0172569,-0.198633,0.0964239,-0.00277329,63.0735,0.00113512,0.112926,0.0537117,63.0753,-180.182,0.0222189,0.207468,0.0,0.161187,0.918,0.0,-1.0,-0.153254,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087986,0.368983,5715.5,-164.215,0.0,1.84e-07,0.0,-4.55e-09,53.3864,-0.0332097,53.3864,0.0,1.42561,1.44688,5.6e-06,4476.3,27.6123,0.0,5.0600000000000005e-21,0.0,-2.02e-18,0.81975,-5.09e-07,0.81975,0.0,0.00137354,999.0,4.0,999.0,87.94106033054221,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.3,27.6123,False,-0.9983607372044279,-0.05723494045276345,4565.451580679344,7.978222736620156,179.81800000000004
8,228.256,0.100918,0.0565852,4563.67,7.48386,0.0187712,-0.43052,179.822,17522.7,-0.000150329,-0.430437,0.0977322,0.0449344,0.0187712,0.501486,0.0937586,-0.00277031,63.0798,0.000584087,0.10091,0.0565838,63.0816,-180.178,0.197666,0.211252,0.0,0.164478,0.927,0.0,-1.0,-0.154211,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0872851,0.369053,5715.53,-164.446,0.0,1.82e-07,0.0,-4.56e-09,53.3913,-0.0332279,53.3913,0.0,1.42575,1.4498,6.78e-06,4476.31,27.608,0.0,5.9500000000000004e-21,0.0,-2.59e-18,0.901809,-6.01e-07,0.901809,0.0,0.00152087,999.0,4.0,999.0,87.66105950523077,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.31,27.608,False,-0.9983647305241125,-0.05716524158539475,4565.171546101918,7.979197565520574,179.822
9,228.272,0.0750493,0.0589818,4563.39,7.48472,0.0202457,-0.429801,179.825,17524.4,-9.51e-05,-0.429718,0.432831,0.04502,0.0202457,0.0103841,0.0915682,-0.00276751,63.0859,0.000100269,0.0750324,0.0589808,63.0877,-180.175,0.0387554,0.215171,0.0,0.167769,0.945,0.0,-1.0,-0.155156,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865845,0.369122,5715.55,-164.678,0.0,1.81e-07,0.0,-4.57e-09,53.3962,-0.0332458,53.3962,0.0,1.42589,1.45268,7.96e-06,4476.31,27.6037,0.0,6.840000000000001e-21,0.0,-3.15e-18,0.983869,-6.94e-07,0.983869,0.0,0.00166864,999.0,4.0,999.0,87.38105869488224,gaze,0.531385154661948,0.4043109025397598,-16.83156255075362,35.85089705960504,263.1314866822287,28.42578050011812,0.2021037251785485,-34.36169025751452,-0.0501154085004964,0.1429395792025751,0.9884617961905352,5.276469707489014,-29.91232041534709,-1.704934037976215,-33.66922104706882,-0.0571781858964273,0.1011629952724967,0.9932254041480668,5.122965812683105,-0.7432699576144852,-0.7514151563988333,-34.015455652291664,-0.0536467971984618,0.1220512872375359,0.9908436001693012,5.19971776008606,9.63599110250017,True,0.0,imu,-0.3995660704000001,-9.648802816800002,2.269989876,4.74046841,2.29490136,-3.87770441,73.4385044,-2.850411600000013,0.4211631999999965,4476.31,27.6037,False,-0.9983677223206242,-0.05711296725200782,4564.891520164046,7.980136185611586,179.825
