Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter
gaze,132.656233,0.7788859110807319,0.5553590572576709,-243.8800167216942,-16.48086472548176,410.8882599007972,-39.46413458363368,-12.14909394441451,-22.45228927498071,-0.4335685577143562,-0.03039385006405639,0.9006078611914161,4.03798246383667,26.42144313937067,-10.15294602316036,-21.51965034562874,-0.5237190176649829,0.007648860233480327,0.8518567282549067,4.123459339141846
gaze,132.676213,0.7771418550572707,0.5543088262448621,-234.3823317740781,-15.45091323709868,397.3942228576965,-39.43534220393563,-12.04795936373423,-22.39081267734671,-0.4269959650257377,-0.02756884425485789,0.9038331730348198,4.003238201141357,26.4401596124868,-10.11164292785015,-21.53001501835622,-0.523245335101943,0.008137762036659814,0.8521432368581529,4.128988742828369
gaze,132.696304,0.7824216635448268,0.551799556020302,-243.4787221665786,-14.49734631465164,404.9387937415657,-39.52817612133265,-11.9347302285303,-22.41915961073583,-0.4375934769197756,-0.02681544292884334,0.8987729863418191,4.064101696014404,26.42947920656377,-10.00780218817627,-21.60122410714784,-0.5284573605968835,0.01118088717001632,0.8488862148680862,4.164036273956299
gaze,132.716285,0.750713506313392,0.5309574360521634,-234.0069553462365,-4.980474693955504,438.8979390949964,-39.04613916488545,-11.84814380612502,-22.1648884035387,-0.4031033067511338,-0.01314017688879807,0.9150601400113724,3.740949630737305,26.79385090002805,-9.960918706548188,-21.29413775334768,-0.4804660108279938,0.03484304562287036,0.8763209312864535,3.84962797164917
gaze,132.736377,0.7181744391814059,0.4689510783542217,-207.545485792976,27.9590897138214,447.3398165313728,-38.0653059247155,-11.05188084691693,-21.86599657618425,-0.3386898665732823,0.07795967896883917,0.9376627659962018,3.872446537017822,,,,,,,
gaze,132.756359,0.6421692002996324,0.4357646104789039,-204.6378873159672,68.67919492753325,681.1189478990559,-36.82095587754539,-10.56435577660006,-21.55125616858103,-0.230902354350826,0.1086981119374004,0.9668861480114864,3.891182899475098,28.78242711807463,-8.672503662667058,-21.45265177623245,-0.3135912605766463,0.1042466417715821,0.9438183930022225,3.885935306549072
gaze,132.77645,0.5878664599804823,0.4019236894241858,-192.4319525298421,146.5343510525178,1044.03435625079,-35.74873139233162,-10.20849000526496,-21.27868891294538,-0.1464768993634644,0.135357991821221,0.9799095529705749,4.037630558013916,30.068118973151,-8.312816964886263,-21.21309286090084,-0.1999767117335365,0.1494878105799496,0.9683298556030664,3.891045570373535
gaze,132.79643,0.5567120171499735,0.3737350099730392,-116.5505121107389,171.8389413795435,989.3771661424223,-35.09682866407794,-9.916387219601674,-21.16790070995627,-0.0874678703695802,0.1620431894471837,0.9828994742122891,4.212069511413574,30.84769909628998,-8.021810779296787,-21.25836793308795,-0.1338353595139022,0.1878072565678919,0.9730449788803326,3.971894979476929
gaze,132.816522,0.549803655827149,0.3750653680204949,-116.9636813073925,195.107001131458,1134.877450492289,-34.96150930421378,-9.863617866160965,-21.07365635839922,-0.0716989599798557,0.1666176567978254,0.9834113155648603,4.262618541717529,31.06339424972588,-8.033934893353997,-21.10056228567901,-0.1231270263470745,0.1792420033521615,0.9760696899388028,3.955759763717651
gaze,132.836503,0.5479694177830923,0.3734964781873006,-118.623289385552,207.9146322396278,1196.453150666366,-35.03203290079357,-9.84248143986316,-21.03770354556755,-0.06781326867458017,0.172168624695901,0.9827305456034178,4.294959545135498,31.12803272586544,-8.029800761675116,-21.00687273708436,-0.1198560275199662,0.1768596377121662,0.9769110508206232,3.949614763259888
