CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_2,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
9.53122,-0.00397417,3765.03,-24.0885,-0.000396063,-0.492894,-0.405265,1627.94,0.000128169,-0.492799,-151.961,-0.168107,-0.000396063,-0.324622,0.00112697,-0.00315953,5.86036,-0.00223452,9.53084,-0.000339657,5.86058,-0.405265,-0.485641,-0.0222395,0.0,0.447509,-0.882,0.0,-1.0,-0.10468,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.79302e-08,0.0141324,2792.46,-20.4263,0.0,0.0,0.0,0.0,64.8,-0.00126851,64.8,0.0,0.0449849,2.0,-0.00246905,3762.3,-13.0493,0.0,-3.1882000000000005e-19,0.0,3.31909e-17,32.6881,0.000220801,32.6881,0.0,-0.0153153,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.76156844646064,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
-8.56062,0.00687858,3765.06,-24.0887,-0.000376487,-0.495012,-0.405627,1630.66,2.32548e-05,-0.494916,149.982,-0.0938283,-0.000376487,0.140272,0.00115388,-0.00316935,5.87015,-0.00217585,-8.56025,0.0037052,5.87037,-0.405627,0.0383062,-0.0216627,0.0,0.447509,-0.882,0.0,-1.0,-0.104551,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.71263e-08,0.0134034,2792.46,-20.1382,0.0,0.0,0.0,0.0,64.8,-0.00120515,64.8,0.0,0.0426644,2.0,-0.0323249,3762.15,-13.05,0.0,-3.23652e-19,0.0,3.49256e-17,32.8034,0.00290812,32.8034,0.0,-0.201777,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.731578992102765,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
9.38616,-0.0109432,3765.08,-24.0889,-0.000372938,-0.497092,-0.405969,1642.05,-0.000171479,-0.496997,-149.023,-0.169254,-0.000372938,-1.29293,-0.000362596,-0.00317906,5.91115,-0.00224393,9.38582,-0.00737984,5.91138,-0.405969,0.0583462,-0.0218674,0.0,0.444218,-0.882,0.0,-1.0,-0.104422,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.63224e-08,0.0126744,2792.46,-19.8501,0.0,0.0,0.0,0.0,64.8,-0.0011418,64.8,0.0,0.0403439,2.0,-0.0621807,3762.0,-13.0508,0.0,-3.28484e-19,0.0,3.66603e-17,32.9187,0.00559545,32.9187,0.0,-0.388238,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.71158377019058,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
9.32928,-0.0192212,3765.11,-24.0891,-0.000369968,-0.4992,-0.406326,1649.23,0.000326805,-0.499104,-147.963,-0.168374,-0.000369968,-1.39938,-7.46437e-07,-0.00318935,5.937,-0.00224132,9.32896,-0.015699,5.93723,-0.406326,0.648853,-0.0221537,0.0,0.444218,-0.882,0.0,-1.0,-0.104292,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.55197e-08,0.0119464,2792.46,-19.5619,0.0,0.0,0.0,0.0,64.8,-0.00107851,64.8,0.0,0.0380265,2.0,-0.0920201,3761.86,-13.0515,0.0,-3.332e-19,0.0,3.83957e-17,33.0339,0.00828132,33.0339,0.0,-0.574558,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.681594365036773,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
9.26938,0.00618678,3765.14,-24.0893,-0.000366054,-0.501296,-0.406687,1656.5,-0.000313154,-0.5012,-146.872,-0.167306,-0.000366054,0.433548,0.000404177,-0.00319971,5.96317,-0.00222224,9.26903,0.00964137,5.96341,-0.406687,-0.953271,-0.0230275,0.0,0.447509,-0.882,0.0,-1.0,-0.104161,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.48352e-08,0.0113165,2792.46,-19.2738,0.0,0.0,0.0,0.0,64.8,-0.00102149,64.8,0.0,0.0360215,2.0,-0.120241,3761.71,-13.0519,0.0,-3.26334e-19,0.0,4.0207e-17,33.1492,0.0108236,33.1492,0.0,-0.746901,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.65160499108566,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
9.20869,-0.0189915,3765.16,-24.0895,-0.000361485,-0.503391,-0.40705,1663.87,-2.54699e-06,-0.503295,-146.27,-0.168512,-0.000361485,-1.14118,0.000905152,-0.00320823,5.98969,-0.0022966,9.20825,-0.0154604,5.98993,-0.40705,-0.0307829,-0.0228669,0.0,0.447509,-0.882,0.0,-1.0,-0.10403,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.41507e-08,0.0106866,2792.46,-18.9857,0.0,0.0,0.0,0.0,64.8,-0.000964466,64.8,0.0,0.0340165,2.0,-0.148463,3761.56,-13.0523,0.0,-3.19468e-19,0.0,4.20182e-17,33.2644,0.0133658,33.2644,0.0,-0.919244,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.63160981642389,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
9.09202,0.000119365,3765.19,-24.0897,-0.000352517,-0.505536,-0.407411,1671.28,0.000185311,-0.50544,-144.16,-0.171529,-0.000352517,-0.446732,-2.13702e-05,-0.00321516,6.01638,-0.00219515,9.09159,0.00343696,6.01662,-0.407411,1.19025,-0.0218561,0.0,0.447509,-0.882,0.0,-1.0,-0.103898,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.34663e-08,0.0100567,2792.45,-18.6976,0.0,0.0,0.0,0.0,64.8,-0.000907444,64.8,0.0,0.0320115,2.0,-0.176684,3761.41,-13.0528,0.0,-3.12603e-19,0.0,4.38294e-17,33.3796,0.0159081,33.3796,0.0,-1.09159,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.60162049222228,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
9.01675,0.0154444,3765.22,-24.0899,-0.000372295,-0.507719,-0.40777,1678.81,0.00020332,-0.507622,-142.434,-0.171896,-0.000372295,1.95485,-0.00126715,-0.00322446,6.04347,-0.00221813,9.0164,0.018754,6.04371,-0.40777,1.75824,-0.0220635,0.0,0.447509,-0.882,0.0,-1.0,-0.103765,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.28524e-08,0.00950869,2792.45,-18.4097,0.0,0.0,0.0,0.0,64.8,-0.000856388,64.8,0.0,0.0302671,2.0,-0.203248,3761.26,-13.0529,0.0,-2.92618e-19,0.0,4.57003e-17,33.4948,0.018294,33.4948,0.0,-1.25055,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.571631199564127,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
8.93094,0.00377365,3765.24,-24.0901,-0.000391831,-0.509883,-0.408139,1686.39,6.08668e-05,-0.509786,-140.735,-0.169496,-0.000391831,0.325284,-0.000742874,-0.00323526,6.07077,-0.00225164,8.93064,0.00708639,6.07102,-0.408139,1.3941,-0.0224578,0.0,0.4508,-0.882,0.0,-1.0,-0.103631,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.22477e-08,0.00897133,2792.45,-18.1218,0.0,0.0,0.0,0.0,64.8,-0.000806109,64.8,0.0,0.0285566,2.0,-0.229596,3761.11,-13.053,0.0,-2.7092300000000003e-19,0.0,4.75789e-17,33.61,0.0206595,33.61,0.0,-1.40777,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.551636072697804,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
8.8101,-0.00087866,3765.27,-24.0903,-0.000412878,-0.512009,-0.408506,1694.05,0.000165833,-0.511912,-138.792,-0.166483,-0.000412878,0.408084,-0.00135733,-0.00324631,6.09835,-0.00225298,8.80977,0.00237645,6.0986,-0.408506,0.202526,-0.0230358,0.0,0.4508,-0.882,0.0,-1.0,-0.103497,-7.16916,0.0,383.543,-107.98,0.0,4.17994e-28,0.0,-4.130000000000001e-27,52.5101,-1.64286e-12,52.5101,0.0,0.0,5.1643e-08,0.00843398,2792.45,-17.8339,0.0,0.0,0.0,0.0,64.8,-0.000755829,64.8,0.0,0.0268462,2.0,-0.255944,3760.96,-13.0531,0.0,-2.49229e-19,0.0,4.94574e-17,33.7251,0.023025,33.7251,0.0,-1.56499,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.521646830342718,gaze,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.0885911896349753,-11.075441296198012,-22.91273109803904,-0.0065198689277851,0.1355596843321186,0.9905062728788028,4.043286323547363,0.3307971331943565,True,0.0,imu,0.1417622136,-9.745703570400002,1.6873890488,0.56087572,2.20517844,-2.65896808,83.4972372,-21.72274280000002,120.3691104
