,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_4_x,hazard_4_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,global_collision_flag,time_to_collision_flag
0,0,51.2815,-0.0323661,-0.0846531,7579.71,10.0125,-0.0495521,-0.416291,-179.726,20862.2,-2.28357e-05,-0.41621,-0.121959,0.16248,-0.0495521,0.0827968,0.0301324,-0.00270425,75.1018,0.0167283,-0.032343,-0.0846509,75.1038,-179.726,0.137725,-0.225797,0.0,0.144732,-0.747,0.0,-1.0,0.12886,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20202,999.0,0.0,103.10443499796726,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.9999653966996712,0.0083189784991425,7578.2111042441875,10.405336496784868,-179.726,True,5.779975
1,1,51.2975,-0.0673036,-0.080985,7579.38,10.0108,-0.0490467,-0.413706,-179.73,20861.4,3.02266e-05,-0.413625,0.341561,0.161025,-0.0490467,0.283929,0.032571,-0.00269262,75.0993,0.0165948,-0.067314,-0.0809712,75.1012,-179.73,0.0995987,-0.222506,0.0,0.128276,-0.729,0.0,-1.0,0.12782,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20202,999.0,0.0,102.77443145471575,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.9999659750370764,0.0082491677246129,7577.881131673001,10.403741138491796,-179.73,True,5.763975000000002
2,2,51.3135,-0.0400295,-0.0834022,7579.04,10.0092,-0.0485105,-0.411144,-179.733,20860.6,6.49144e-06,-0.411064,-0.228969,0.15952,-0.0485105,-0.200955,0.0327376,-0.00268091,75.0962,0.0164391,-0.0400159,-0.0833973,75.0981,-179.733,-0.107369,-0.219131,0.0,0.121694,-0.72,0.0,-1.0,0.126803,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15241,999.0,0.0,102.4344282477334,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.9999664055917568,0.008196809617312,7577.541152249405,10.402219618515204,-179.733,True,5.747975000000004
3,3,51.3295,-0.0578896,-0.0826941,7578.71,10.0076,-0.0479935,-0.408599,-179.737,20859.6,-2.80385e-06,-0.408519,-0.0638988,0.158882,-0.0479935,0.0443516,0.0320797,-0.00266982,75.0928,0.0162962,-0.0578968,-0.0826829,75.0947,-179.737,0.377324,-0.215604,0.0,0.115112,-0.702,0.0,-1.0,0.125809,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15241,999.0,0.0,102.10442500283744,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.9999669754001628,0.0081269987726457,7577.211179691004,10.40072425687029,-179.73700000000002,True,5.7319749999999985
4,4,51.3455,-0.0679767,-0.0804416,7578.38,10.006,-0.0474671,-0.406067,-179.74,20858.6,3.14899e-06,-0.405987,-0.0143071,0.157725,-0.0474671,-0.0548994,0.0329059,-0.00265852,75.0889,0.0161219,-0.067954,-0.0804318,75.0908,-179.74,0.150467,-0.212262,0.0,0.105239,-0.702,0.0,-1.0,0.124837,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15241,999.0,0.0,101.77442176205211,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.99996739955809,0.0080746406131334,7576.881200276996,10.399202734379234,-179.74,True,5.715975
5,5,51.3615,-0.0403724,-0.0821565,7578.04,10.0044,-0.0469427,-0.403564,-179.743,20857.4,-4.99901e-05,-0.403484,-0.690761,0.155363,-0.0469427,-0.0996382,0.0320727,-0.00264715,75.0849,0.0159001,-0.0403766,-0.0821496,75.0867,-179.743,0.265813,-0.20943,0.0,0.101948,-0.702,0.0,-1.0,0.123887,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10299,999.0,0.0,101.43441856667803,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.99996782097455,0.0080222824314845,7576.541220867098,10.397681210810186,-179.74299999999997,True,5.699975000000002
6,6,51.3775,-0.0834701,-0.0794513,7577.71,10.0029,-0.0464185,-0.401092,-179.747,20856.2,-1.78865e-05,-0.401013,-0.119701,0.153558,-0.0464185,-0.387762,0.0325563,-0.002636,75.0803,0.0156574,-0.0834753,-0.0794354,75.0821,-179.747,0.0400175,-0.206881,0.0,0.0887836,-0.702,0.0,-1.0,0.122959,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10299,999.0,0.0,101.10441562073366,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.9999683785986564,0.0079524714884311,7576.211248326958,10.396285844374216,-179.747,True,5.683975000000004
7,7,51.3935,-0.0832915,-0.0790408,7577.38,10.0013,-0.0458905,-0.398648,-179.75,20854.8,-4.09379e-05,-0.398569,-0.0343021,0.152387,-0.0458905,-0.295795,0.0327898,-0.00262515,75.0753,0.015386,-0.0832784,-0.0790273,75.0771,-179.75,0.144383,-0.204781,0.0,0.0756194,-0.702,0.0,-1.0,0.122052,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10299,999.0,0.0,100.77441239168834,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.9999687936183546,0.0079001132556867,7575.881268926647,10.39476431828903,-179.75000000000003,True,5.667974999999998
8,8,51.4095,-0.111752,-0.0772476,7577.04,9.99983,-0.0453674,-0.396216,-179.753,20853.2,-1.25878e-05,-0.396138,0.0845522,0.15149,-0.0453674,-0.116394,0.0315406,-0.00261443,75.0699,0.0151137,-0.111778,-0.0772243,75.0717,-179.753,0.108565,-0.203081,0.0,0.0756194,-0.702,0.0,-1.0,0.121166,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05366,999.0,0.0,100.4344095788338,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.9999692058965814,0.0078477550012842,7575.541289530445,10.393372791125136,-179.753,True,5.651975
9,9,51.4255,-0.102756,-0.0804325,7576.71,9.99833,-0.0448825,-0.393804,-179.757,20851.6,-2.73602e-05,-0.393726,-0.237018,0.150393,-0.0448825,-0.535496,0.0292962,-0.0026038,75.0641,0.0148435,-0.102794,-0.08041,75.0659,-179.757,-0.139049,-0.201599,0.0,0.055873,-0.702,0.0,-1.0,0.120302,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-10.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05366,999.0,0.0,100.10440664230998,gaze,0.4119097842554841,0.4083472568283148,41.76757320996022,28.39992510159016,219.7784291912752,31.27928217206327,-6.196434788921275,-28.28939075203603,0.0418379985045012,0.138005557638553,0.9895473955005945,5.072244644165039,-30.62971017149743,-5.490111021236137,-29.91290387089618,-0.0348529877922946,0.1669088527766569,0.9853561305978312,4.675368785858154,0.3247860002829199,-5.843272905078706,-29.101147311466107,0.0034925053561032,0.1524572052076049,0.9874517630492128,4.873806715011597,2.6516848995536173,True,0.0,imu,0.2769447464000001,-9.5160128952,2.441061576800001,0.46367589,2.48182411,-2.92065993,81.1534548,-33.64917720000003,117.048752,7454.83,-10.0129,False,-0.9999697513363712,0.0077779439619704,7575.211317008567,10.39197741989492,-179.757,True,5.635975000000002
