,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_1,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,left_gaze_car_x,left_gaze_car_y,right_gaze_car_x,right_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous
0,-9.80902,-0.0308148,1876.54,-8.6584,0.000591258,-0.622978,0.425908,654.258,-0.0006489,-0.622856,174.868,0.0711784,0.000591258,-3.47342,-0.00230987,-0.00406531,2.35515,0.00253801,-9.80839,-0.0202444,2.35533,0.425908,-0.939684,0.0253846,0.0,0.29612,2.439,0.0,-1.0,-0.111015,0.309556,0.0395355,1310.42,-10.3907,0.0,0.0,0.0,0.0,63.8413,-0.00355922,63.8413,0.0,0.127737,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.1429230988143,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406493158224011,0.33938011821974606,0.9335217508659684,0.35852076740425665,1875.0437581566925,-9.169536328522735,0.425908
1,-9.81963,0.00873124,1876.55,-8.65831,0.000551606,-0.622519,0.426321,664.516,0.000934794,-0.622397,174.913,0.0729362,0.000551606,1.47207,-0.00178892,-0.00405866,2.39208,0.00268002,-9.81898,0.0197326,2.39226,0.426321,2.12512,0.0265654,0.0,0.299411,2.466,0.0,-1.0,-0.111083,0.307062,0.0373942,1310.42,-10.1084,0.0,0.0,0.0,0.0,63.8587,-0.00336652,63.8587,0.0,0.120787,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.13294706034658,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406517621210614,0.3393733378133025,0.9335243351346292,0.3585140383742994,1875.0537618411092,-9.169457113734591,0.42632100000000006
2,-9.78272,-0.0344987,1876.56,-8.65821,0.00053381,-0.62206,0.42674,674.748,0.000542104,-0.621938,174.331,0.0721586,0.00053381,-3.65462,-0.00130424,-0.00405092,2.42892,0.00264788,-9.7821,-0.0238344,2.42909,0.42674,-2.54581,0.0259247,0.0,0.305993,2.484,0.0,-1.0,-0.111153,0.304623,0.0353968,1310.42,-9.82974,0.0,0.0,0.0,0.0,63.8757,-0.00318683,63.8757,0.0,0.114306,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.12297165220136,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406542439092248,0.33936645888414557,0.9335269568975783,0.35850721156700216,1875.063765579132,-9.169368055605194,0.42674
3,-9.75322,-0.00770631,1876.57,-8.65812,0.000535199,-0.621597,0.427168,684.947,0.000520553,-0.621475,173.945,0.0724696,0.000535199,-0.112338,-0.000154448,-0.00404356,2.46564,0.00269231,-9.75252,0.00294325,2.46581,0.427168,-0.030039,0.0270955,0.0,0.312575,2.502,0.0,-1.0,-0.111223,0.302184,0.0333995,1310.41,-9.55107,0.0,0.0,0.0,0.0,63.8927,-0.00300714,63.8927,0.0,0.107826,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.11299565808317,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406567789535496,0.3393594321788225,0.9335296349237004,0.3585002381020446,1875.073769397529,-9.169289232475819,0.427168
4,-9.81457,-0.0123683,1876.58,-8.65803,0.000551118,-0.621108,0.427603,695.086,0.00025016,-0.620987,175.021,0.0759489,0.000551118,-0.463819,0.00178222,-0.00403787,2.50214,0.00269572,-9.81386,-0.00179473,2.50231,0.427603,2.05616,0.0277864,0.0,0.32574,2.52,0.0,-1.0,-0.111295,0.299775,0.0315369,1310.41,-9.27239,0.0,0.0,0.0,0.0,63.9095,-0.00283951,63.9095,0.0,0.101786,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.103019686027192,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406593554050954,0.3393522905313451,0.9335323566959386,0.35849315056459197,1875.0837732784623,-9.169210592116503,0.427603
5,-9.79337,-0.0146525,1876.59,-8.65793,0.000571775,-0.620554,0.428048,705.213,0.000218966,-0.620432,175.024,0.0806482,0.000571775,-1.75308,0.000181352,-0.00403294,2.53859,0.00276563,-9.79255,-0.00398356,2.53877,0.428048,-1.61413,0.0276878,0.0,0.335613,2.547,0.0,-1.0,-0.111367,0.297401,0.0298287,1310.41,-8.9937,0.0,0.0,0.0,0.0,63.9261,-0.00268567,63.9261,0.0,0.0962493,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.093044345334256,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406619910293074,0.33934498468782326,0.9335351409819735,0.3584859000738618,1875.0937772487014,-9.169122212867862,0.428048
6,-9.76941,-0.0197837,1876.61,-8.65783,0.000576733,-0.619918,0.428505,715.302,-0.000647361,-0.619797,174.23,0.085269,0.000576733,-2.43037,-0.000619693,-0.0040276,2.57491,0.0028662,-9.76868,-0.0089094,2.57509,0.428505,-1.25699,0.0286213,0.0,0.335613,2.556,0.0,-1.0,-0.111441,0.295026,0.0281204,1310.41,-8.715,0.0,0.0,0.0,0.0,63.9426,-0.00253183,63.9426,0.0,0.0907129,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.07308763333545,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406646976674737,0.3393374818114854,0.9335380002912684,0.3584784540417734,1875.113781326097,-9.169034146955704,0.428505
7,-9.81311,-0.0203291,1876.62,-8.65773,0.000576563,-0.619219,0.42897,725.352,0.000591984,-0.619098,174.666,0.0887704,0.000576563,-1.67631,-0.000701068,-0.00402187,2.61109,0.00290851,-9.81246,-0.0093985,2.61127,0.42897,-0.807668,0.0292737,0.0,0.345486,2.574,0.0,-1.0,-0.111516,0.292628,0.0264571,1310.41,-8.43135,0.0,0.0,0.0,0.0,63.9594,-0.00238199,63.9594,0.0,0.0853233,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.0631123578,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406674516251896,0.3393298475716089,0.9335409095931583,0.35847087763998187,1875.1237854749672,-9.168946289921987,0.42897
8,-9.82986,-0.00131613,1876.63,-8.65763,0.000554164,-0.618462,0.429442,735.355,-0.000268234,-0.618341,175.331,0.0926554,0.000554164,-0.449855,-0.001571,-0.00401643,2.6471,0.00300986,-9.82905,0.00986046,2.64728,0.429442,-0.0237413,0.029694,0.0,0.352068,2.592,0.0,-1.0,-0.111591,0.290167,0.0249099,1310.41,-8.13484,0.0,0.0,0.0,0.0,63.9765,-0.00224253,63.9765,0.0,0.0803143,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.053137105112675,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406702469769697,0.33932209838483374,0.9335438626281066,0.3584631871606832,1875.1337896863947,-9.168858615651175,0.42944200000000005
9,-9.72247,-0.0341302,1876.64,-8.65753,0.0005089,-0.617648,0.42992,745.349,0.000384844,-0.617527,173.613,0.0963169,0.0005089,-3.1212,-0.00382442,-0.00401094,2.68307,0.00302057,-9.72167,-0.0231853,2.68326,0.42992,-1.74207,0.0293592,0.0,0.355359,2.601,0.0,-1.0,-0.111668,0.287707,0.0233628,1310.41,-7.83833,0.0,0.0,0.0,0.0,63.9937,-0.00210308,63.9937,0.0,0.0753052,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,22.04316187530496,gaze,0.5405544629202427,0.4347615859157763,-162.5854455457307,194.2240197893792,1944.593971997328,31.29505668294579,-9.992730204330538,-36.33704239669301,-0.0906928726461322,0.0943190962659075,0.9914023960687076,3.744484186172485,-30.32378679235403,-7.341045228435618,-35.05854907523148,-0.0725556576353525,0.1088535825626137,0.9914063617449638,4.391363143920898,0.4856349452958799,-8.666887716383078,-35.697795735962245,-0.0816242651407423,0.1015863394142606,0.9914043789068356,4.067923665046692,55.003731374197415,False,-1.0,imu,0.2775428992,-9.6828975264,2.013980477600001,2.43758013,4.48563599,-2.14306129,57.7766668,-9.832930000000006,29.5597496,0.9406730777978225,0.33931425066797843,0.9335468531370678,0.35845539889626193,1875.1437939514603,-9.168771098028003,0.42992
