Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_4_x,hazard_4_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,distance_to_hazard,yaw_continuous,global_collision_flag,time_to_collision_flag
62.449,-0.10213,0.0173238,7556.59,9.53172,0.00899977,-0.353538,-179.761,16223.7,4.83985e-06,-0.353465,0.330578,0.00600133,0.00899977,0.247031,0.00269526,-0.00243959,58.4042,0.000142684,-0.102132,0.017324,58.4053,-179.761,0.333665,0.0591929,0.0,0.0459999,0.261,0.0,-1.0,-0.303318,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.43671,0.0,0.0,0.0,0.0,6.00001,0.0,6.00001,0.0,0.0,999.0,999.0,0.0,79.98420543106283,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.43671,False,-0.9998814684954562,-0.0153963943626487,7555.091344493993,9.92547204674612,17.816223819017956,-179.761,False,inf
62.465,-0.0953329,0.0180711,7556.33,9.53063,0.00902766,-0.353436,-179.76,16222.3,-2.16217e-05,-0.353362,-0.0206106,0.00639426,0.00902766,-0.130642,0.000139534,-0.00243935,58.3992,0.000139183,-0.0953546,0.0180708,58.4003,-179.76,-0.0821872,0.0592615,0.0,0.0459999,0.261,0.0,-1.0,-0.303815,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.41003,0.0,0.0,0.0,0.0,6.00001,0.0,6.00001,0.0,0.0,999.0,999.0,0.0,79.72420858695887,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.41003,False,-0.99988173706094,-0.0153789431365495,7554.831337621952,9.924355890213215,17.794184464046015,-179.76,False,inf
62.481,-0.0704373,0.0160396,7556.07,9.52954,0.00900935,-0.353332,-179.759,16220.9,-1.96064e-05,-0.353259,-0.237474,0.00617589,0.00900935,-0.0189729,-0.00178978,-0.00243895,58.3942,0.000148972,-0.0704183,0.0160403,58.3953,-179.759,0.112874,0.0593312,0.0,0.0427088,0.261,0.0,-1.0,-0.304316,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.38335,0.0,0.0,0.0,0.0,6.00001,0.0,6.00001,0.0,0.0,999.0,999.0,0.0,79.4642117784578,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.38335,False,-0.9998820053218423,-0.0153614919057656,7554.571330750367,9.923239733560376,17.772136013726378,-179.759,False,inf
62.497,-0.0779295,0.0136426,7555.81,9.52844,0.00899191,-0.353234,-179.758,16219.5,1.2862e-05,-0.353161,-0.0425639,0.00613629,0.00899191,-0.193283,-5.2973e-05,-0.0024387,58.3892,0.000146008,-0.0779056,0.0136435,58.3903,-179.758,0.064633,0.0593569,0.0,0.055873,0.261,0.0,-1.0,-0.304822,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.35667,0.0,0.0,0.0,0.0,6.00001,0.0,6.00001,0.0,0.0,999.0,4.0,0.0,79.2042150292123,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.35667,False,-0.9998822732781636,-0.0153440406703032,7554.311323879239,9.92211357678761,17.750068469257457,-179.758,False,inf
62.513,-0.0831162,0.016073,7555.55,9.52734,0.00899634,-0.353139,-179.757,16218.1,3.48964e-05,-0.353066,-0.171327,0.00571727,0.00899634,-0.644798,-0.00031264,-0.00243834,58.3842,0.00014396,-0.0831359,0.0160727,58.3853,-179.757,-0.338234,0.0593792,0.0,0.0459999,0.261,0.0,-1.0,-0.305331,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.33007,0.0,0.0,0.0,0.0,6.00001,0.0,6.00001,0.0,0.0,999.0,4.0,0.0,78.94421831670553,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.33007,False,-0.999882540929903,-0.0153265894301659,7554.051317008567,9.920987419894924,17.728071820081357,-179.757,False,inf
62.529,-0.0870255,0.0188699,7555.29,9.52624,0.00896752,-0.353043,-179.756,16216.7,7.0064e-06,-0.352969,-0.063171,0.00624399,0.00896752,-0.391658,-0.0030019,-0.00243824,58.3791,0.000162241,-0.0870381,0.0188699,58.3802,-179.756,-0.272827,0.0595034,0.0,0.0459999,0.261,0.0,-1.0,-0.305845,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.30352,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,999.0,4.0,0.0,78.68422164130259,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.30352,False,-0.9998828082770608,-0.0153091381853598,7553.791310138352,9.919861262882325,17.70611606979913,-179.756,False,inf
62.545,-0.0743794,0.015921,7555.03,9.52513,0.00892018,-0.352948,-179.755,16215.3,-3.71153e-05,-0.352875,-0.278781,0.00575085,0.00892018,-0.185244,-0.00177795,-0.00243767,58.3741,0.000170833,-0.0743829,0.0159212,58.3752,-179.755,-0.3135,0.059363,0.0,0.0492909,0.261,0.0,-1.0,-0.306363,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.27697,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,999.0,4.0,0.0,78.42422502732747,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.27697,False,-0.9998830753196368,-0.0152916869358902,7553.531303268593,9.918725105749822,17.684141225487558,-179.755,False,inf
62.561,-0.109087,0.0175473,7554.77,9.52402,0.00890674,-0.352852,-179.754,16213.9,3.85555e-06,-0.352779,0.288367,0.0060732,0.00890674,0.181822,0.000244797,-0.00243739,58.369,0.000169052,-0.109092,0.0175476,58.3701,-179.754,-0.108311,0.0593509,0.0,0.0492909,0.261,0.0,-1.0,-0.306885,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.25032,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,999.0,4.0,0.0,78.16422845164216,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.25032,False,-0.9998833420576312,-0.015274235681763,7553.271296399292,9.917588948497423,17.6620572976589,-179.754,False,inf
62.577,-0.105935,0.0124119,7554.51,9.5229,0.00892719,-0.352745,-179.753,16212.4,-2.36541e-05,-0.352672,0.278554,0.00748591,0.00892719,-0.0569563,0.00214388,-0.00243713,58.3637,0.000123927,-0.105944,0.0124119,58.3648,-179.753,0.0731029,0.058941,0.0,0.0459999,0.252,0.0,-1.0,-0.307412,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.22356,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,999.0,4.0,0.0,77.90423193902929,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.22356,False,-0.9998836084910436,-0.0152567844229826,7553.011289530445,9.916442791125135,17.639844288582402,-179.753,False,inf
62.593,-0.0794331,0.0136632,7554.25,9.52178,0.00895123,-0.352617,-179.752,16211.0,-5.37419e-05,-0.352544,-0.0187996,0.00851033,0.00895123,-0.0907807,0.00175928,-0.00243665,58.3584,9.4296e-05,-0.0794173,0.0136637,58.3595,-179.752,0.214525,0.0587632,0.0,0.0492909,0.252,0.0,-1.0,-0.307943,0.0,0.0,387.381,-2.65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.92,4.72605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3891.15,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7454.83,-9.1968,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,999.0,4.0,0.0,77.64423546592778,gaze,0.5096590306945068,0.6441154647062644,-5.026815287495976,-37.08684769224281,249.6749484065886,26.80817380702394,-10.69966526130994,-28.40963302134236,-0.0940583895768469,-0.1330803843332083,0.9866319631229956,4.017370700836182,-25.93053338724308,-9.166675217456886,-28.7601554213522,0.0552439940339711,-0.0603857681372797,0.9966452027324696,4.297110080718994,0.4388202098904301,-9.933170239383411,-28.58489422134728,-0.0194071977714378,-0.0967330762352439,0.9916385829277324,4.157240390777588,3.0482797141196234,True,0.0,imu,0.2727576768,-9.6924679712,1.5031579864,0.19450713,2.1752708,-3.27955161,82.78921960000001,-38.75178680000002,130.6719872,7454.83,-9.1968,False,-0.999883874619874,-0.0152393331595551,7552.751282662056,9.91529663363297,17.617622184248336,-179.75200000000004,False,inf
