ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,Unnamed: 86,distance_to_inter_0,distance_to_inter_1
149.537,11.0559,-0.041134,1880.03,-8.92583,-5.22152e-05,-0.603659,-0.235612,854.823,0.000889951,-0.603542,-176.151,0.0175941,-5.22152e-05,-3.99086,-0.000302912,-0.00387425,3.07716,5.64716e-05,11.0551,-0.0413367,3.07736,-0.235612,-1.34345,0.000571006,0.0,0.0394177,0.054,0,-1.0,0.141456,-0.436518,0.0,1310.22,-45.9973,0,0,0,0,52.5441,1.90692e-12,52.5441,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.4961452555467,18.643202368394302
149.553,11.0401,0.016608,1880.05,-8.92588,-5.70519e-05,-0.60272,-0.235596,863.739,-0.000169321,-0.602604,-175.272,0.0132029,-5.70519e-05,1.20176,-0.000789773,-0.00386395,3.10927,0.00015534,11.0395,0.0160567,3.10946,-0.235596,0.755293,0.0016632,0.0,0.0394177,0.054,0,-1.0,0.141526,-0.432969,0.0,1310.23,-45.7637,0,0,0,0,52.5193,4.90397e-12,52.5193,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.5161450457122,18.623232982873937
149.569,11.0246,-0.0035652,1880.06,-8.92594,-8.21696e-05,-0.601828,-0.235579,872.593,-0.000218516,-0.601712,-174.92,0.01246,-8.21696e-05,-0.172,-0.00104975,-0.00385555,3.14114,0.000144305,11.024,-0.00407145,3.14133,-0.235579,0.0215396,0.000863813,0.0,0.0394177,0.045,0,-1.0,0.141597,-0.429421,0.0,1310.23,-45.5302,0,0,0,0,52.4945,7.90102e-12,52.4945,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.5261448456594,18.613246287620115
149.585,11.026,-0.0133158,1880.07,-8.926,-8.04407e-05,-0.600918,-0.23557,881.392,0.000378346,-0.600803,-175.792,0.0129913,-8.04407e-05,-0.901724,0.00068497,-0.00384754,3.17281,3.24054e-05,11.0252,-0.0134282,3.17301,-0.23557,1.05562,0.000955533,0.0,0.0459999,0.045,0,-1.0,0.141668,-0.425961,0.0,1310.23,-45.2973,0,0,0,0,52.4704,7.1892e-12,52.4704,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.5361446456197,18.603259606853964
149.601,11.0255,-0.0198569,1880.09,-8.92605,-6.96269e-05,-0.599986,-0.235558,890.089,-0.000910689,-0.59987,-175.348,0.0158236,-6.96269e-05,-2.85909,0.00015017,-0.00384029,3.20412,5.16754e-05,11.0249,-0.0200345,3.20432,-0.235558,-0.667551,0.00109381,0.0,0.0789104,0.045,0,-1.0,0.14174,-0.422502,0.0,1310.23,-45.0643,0,0,0,0,52.4463,6.40776e-12,52.4463,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.5561444358352,18.583290349195565
149.617,11.0024,-0.00846881,1880.1,-8.92611,-7.33889e-05,-0.599007,-0.235539,898.704,-0.000317967,-0.598892,-175.189,0.0183827,-7.33889e-05,-0.737893,-0.00221906,-0.00383259,3.23513,9.83042e-05,11.0017,-0.00880293,3.23533,-0.235539,0.875777,0.00140361,0.0,0.0953657,0.045,0,-1.0,0.141813,-0.419044,0.0,1310.23,-44.8314,0,0,0,0,52.4222,5.62633e-12,52.4222,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.5661442358243,18.57330371398975
149.633,10.9898,0.00870367,1880.12,-8.92617,-9.03471e-05,-0.597983,-0.235522,907.255,-0.000431298,-0.597868,-174.79,0.0221091,-9.03471e-05,1.52952,-0.000894741,-0.00382541,3.26591,6.9253e-05,10.9892,0.00847086,3.26612,-0.235522,1.27272,0.00135896,0.0,0.128276,0.045,0,-1.0,0.141887,-0.415663,0.0,1310.24,-44.5988,0,0,0,0,52.3986,5.29665e-12,52.3986,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.5861439988976,18.553333972871453
149.649,10.9917,-0.0143612,1880.13,-8.92623,-9.48877e-05,-0.596896,-0.23551,915.758,0.000377974,-0.596782,-175.219,0.025728,-9.48877e-05,-0.964699,0.000379611,-0.00381798,3.29652,3.78157e-05,10.991,-0.0144871,3.29673,-0.23551,-0.990974,0.000191742,0.0,0.138149,0.045,0,-1.0,0.141961,-0.412295,0.0,1310.24,-44.3663,0,0,0,0,52.3752,5.04235e-12,52.3752,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.5961437989173,18.543347383169465
149.665,11.0026,-0.0259178,1880.15,-8.92629,-7.13583e-05,-0.595747,-0.2355,924.163,-0.00118165,-0.595632,-175.046,0.0299872,-7.13583e-05,-2.68581,0.000986428,-0.00381022,3.32678,5.22445e-05,11.002,-0.0260904,3.32699,-0.2355,2.57894,0.00184404,0.0,0.161187,0.036,0,-1.0,0.142036,-0.408927,0.0,1310.24,-44.1338,0,0,0,0,52.3517,4.78805e-12,52.3517,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.6161435620303,18.523377738525408
149.681,11.0265,-0.00973596,1880.16,-8.92635,-5.96774e-05,-0.594538,-0.235491,932.527,-0.000647637,-0.594424,-175.712,0.0333128,-5.96774e-05,-1.48439,0.00100429,-0.00380205,3.35689,5.73086e-05,11.0258,-0.00992405,3.3571,-0.235491,1.6801,0.00108001,0.0,0.17106,0.036,0,-1.0,0.142111,-0.0232942,0.0,1310.24,-43.9004,0,0,0,0,52.3974,3.55755e-12,52.3974,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0,0,5303.71,-61.7625,0,0,0,0,0,0,0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,999.0,1.0,,580.6261433620798,18.513391194551552
