,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_2,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_3_x,hazard_3_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,global_collision_flag,time_to_collision_flag
0,0,256.192,8.03028,0.00404052,3770.42,-24.0787,-0.00131345,-0.424407,-0.288725,1506.24,-0.000208418,-0.42432,-132.374,-0.0140105,-0.00131345,-0.321106,0.00136846,-0.00288157,5.42231,-0.00934511,8.02996,0.017881,5.42247,-0.288725,-1.4845,-0.0942778,0.0,0.0,-4.077,0.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.79289e-08,0.000167395,2792.44,42.3909,0.0,0.0,0.0,0.0,64.8,-1.58481e-05,64.8,0.0,0.000532836,0.890616,1.03438,3785.64,-27.6344,0.0,0.0,0.0,0.0,23.9565,-0.0930681,23.9565,0.0,8.90554,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.376151302732808,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.64,-27.6344,False,0.9999998519447384,-0.0005441603636822,3771.914965320742,-24.486238574591415,-0.288725,True,1.5039110000000164
1,1,256.208,8.01457,-0.0441008,3770.44,-24.0789,-0.0013158,-0.424108,-0.290228,1508.33,0.000259069,-0.424021,-132.11,-0.0145165,-0.0013158,-3.64944,-0.00195841,-0.00288026,5.42982,-0.00939758,8.01434,-0.030229,5.42997,-0.290228,-1.34601,-0.0945052,0.0,0.0,-4.086,0.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.77015e-08,0.000168262,2792.44,42.6802,0.0,0.0,0.0,0.0,64.8,-1.57686e-05,64.8,0.0,0.000535595,0.883359,1.0516,3785.63,-27.5281,0.0,0.0,0.0,0.0,24.0071,-0.0946206,24.0071,0.0,9.03475,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.35616311394571,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.63,-27.5281,False,0.9999998658752488,-0.0005179280687244,3771.934954629554,-24.48647779082797,-0.290228,True,1.4879109999999969
2,2,256.224,8.01209,0.00162866,3770.46,-24.079,-0.00132949,-0.423813,-0.291739,1510.41,-7.34433e-05,-0.423726,-131.715,-0.0139259,-0.00132949,0.631703,-0.000705835,-0.00287958,5.43732,-0.00934994,8.01186,0.0154067,5.43747,-0.291739,-0.146138,-0.0947789,0.0,0.0,-4.095,0.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.74686e-08,0.000168815,2792.44,42.9802,0.0,0.0,0.0,0.0,64.8,-1.57146e-05,64.8,0.0,0.000537354,0.875917,1.06849,3785.61,-27.4174,0.0,0.0,0.0,0.0,24.059,-0.0961513,24.059,0.0,9.15979,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.336179541128907,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.61,-27.4174,False,0.9999998791862698,-0.0004915561470868,3771.954943880423,-24.4866172155176,-0.2917390000000001,True,1.4719110000000342
3,3,256.24,7.99914,-0.0273252,3770.49,-24.0792,-0.00135817,-0.423498,-0.293254,1512.46,-0.000116793,-0.423411,-131.283,-0.0127193,-0.00135817,-2.22269,-0.00334201,-0.00287895,5.44471,-0.00936818,7.999,-0.0135613,5.44486,-0.293254,-0.956908,-0.0950803,0.0,0.0,-4.113,0.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.72356e-08,0.000169367,2792.44,43.2803,0.0,0.0,0.0,0.0,64.8,-1.56606e-05,64.8,0.0,0.000539113,0.868476,1.08538,3785.6,-27.3068,0.0,0.0,0.0,0.0,24.1109,-0.097682,24.1109,0.0,9.28483,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.30620196244383,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.6,-27.3068,False,0.999999891834286,-0.0004651144119449,3771.984933101792,-24.48685674428976,-0.293254,True,1.4559110000000146
4,4,256.256,7.97595,-0.00858264,3770.51,-24.0794,-0.00139808,-0.42316,-0.294778,1514.51,-0.000114305,-0.423073,-131.062,-0.0103556,-0.00139808,-1.35741,-0.00274598,-0.00287848,5.45209,-0.00940933,7.97572,0.00518312,5.45225,-0.294778,-2.1807,-0.0958696,0.0,0.0,-4.131,0.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.70102e-08,0.000169471,2792.44,43.5738,0.0,0.0,0.0,0.0,64.8,-1.56501e-05,64.8,0.0,0.000539442,0.861292,1.10376,3785.58,-27.1983,0.0,0.0,0.0,0.0,24.161,-0.0993439,24.161,0.0,9.42243,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.2862138927374,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.58,-27.1983,False,0.999999903852031,-0.0004385155968602,3772.004922258077,-24.487096507598743,-0.294778,True,1.439911000000052
5,5,256.272,7.97821,-0.0237938,3770.54,-24.0795,-0.00145555,-0.422785,-0.296309,1516.56,-8.35742e-05,-0.422698,-131.326,-0.00875357,-0.00145555,-1.78276,-0.00394868,-0.00287789,5.45945,-0.00941695,7.97798,-0.0100314,5.45961,-0.296309,-1.20129,-0.0964679,0.0,0.0,-4.167,-6.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.67912e-08,0.000169184,2792.44,43.8617,0.0,0.0,0.0,0.0,64.8,-1.56774e-05,64.8,0.0,0.000538528,0.854333,1.12345,3785.56,-27.0917,0.0,0.0,0.0,0.0,24.2095,-0.10112,24.2095,0.0,9.57093,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.256241055360892,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.56,-27.0917,False,0.9999999152125966,-0.0004117946084279,3772.034911363488,-24.487236453257164,-0.2963089999999999,True,1.4239110000000323
6,6,256.288,7.97712,-0.0416242,3770.56,-24.0797,-0.00152518,-0.422396,-0.297856,1518.58,-0.000444052,-0.422309,-131.252,-0.00826057,-0.00152518,-3.52102,-0.00552869,-0.00287697,5.46672,-0.00953896,7.97693,-0.0277039,5.46688,-0.297856,0.134959,-0.0968994,0.0,0.0,-4.203,0.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.65723e-08,0.000168897,2792.44,44.1495,0.0,0.0,0.0,0.0,64.8,-1.57046e-05,64.8,0.0,0.000537615,0.847374,1.14313,3785.55,-26.9851,0.0,0.0,0.0,0.0,24.2581,-0.102896,24.2581,0.0,9.71943,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.236253074216403,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.55,-26.9851,False,0.9999999259666448,-0.000384794367042,3772.05490035396,-24.487476816079404,-0.297856,True,1.4079110000000128
7,7,256.304,7.96508,0.0088339,3770.59,-24.0799,-0.00160597,-0.422005,-0.299424,1520.6,-0.000284847,-0.421918,-131.312,-0.00845069,-0.00160597,1.66474,-0.00463805,-0.00287618,5.47399,-0.0096276,7.96477,0.0228438,5.47415,-0.299424,-1.73224,-0.0993561,0.0,0.0,-4.266,-6.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.63595e-08,0.000168264,2792.44,44.4329,0.0,0.0,0.0,0.0,64.8,-1.57625e-05,64.8,0.0,0.000535601,0.840591,1.16307,3785.53,-26.8799,0.0,0.0,0.0,0.0,24.3054,-0.104691,24.3054,0.0,9.86985,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.206275778537005,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.53,-26.8799,False,0.9999999361227512,-0.0003574276062561,3772.084889193869,-24.487717726509903,-0.2994240000000001,True,1.39191100000005
8,8,256.32,7.94721,-0.0214726,3770.61,-24.08,-0.00168622,-0.421644,-0.301014,1522.6,0.000485443,-0.421558,-131.274,-0.0125324,-0.00168622,-2.72993,-0.00806057,-0.00287341,5.48122,-0.00973952,7.9469,-0.00735008,5.48138,-0.301014,-2.77496,-0.100644,0.0,0.0,-4.329,0.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.61557e-08,0.000167131,2792.44,44.7097,0.0,0.0,0.0,0.0,64.8,-1.5865e-05,64.8,0.0,0.000531993,0.834064,1.18339,3785.51,-26.7769,0.0,0.0,0.0,0.0,24.3509,-0.106514,24.3509,0.0,10.023,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.186292503226174,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.51,-26.7769,False,0.9999999456565782,-0.000329676872788,3772.104877876051,-24.487859210626898,-0.301014,True,1.3759110000000305
9,9,256.336,7.9632,-0.0428582,3770.63,-24.0802,-0.00182053,-0.421343,-0.302626,1524.6,0.000389285,-0.421257,-130.981,-0.014899,-0.00182053,-3.44607,-0.0096335,-0.00287188,5.4884,-0.009906,7.96304,-0.0284843,5.48855,-0.302626,-2.35539,-0.102571,0.0,0.0,-4.41,0.0,24.0,-0.12458,-7.16815,0.0,383.543,-107.98,0.0,4.1783e-28,0.0,-4.12923e-27,52.5113,1.41574e-12,52.5113,0.0,0.0,-2.59519e-08,0.000165997,2792.44,44.9866,0.0,0.0,0.0,0.0,64.8,-1.59674e-05,64.8,0.0,0.000528385,0.827537,1.2037,3785.49,-26.6739,0.0,0.0,0.0,0.0,24.3964,-0.108337,24.3964,0.0,10.1762,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,16.166304643918977,gaze,0.4974809081690955,0.5340420847546277,12.36260197663119,-35.62730145456138,1866.836234441109,31.92633064325324,-5.600295354711104,-29.63737995816916,-0.0025132724161817,-0.0079343766655181,0.9999653639645184,4.879863739013672,-28.36481961181263,-5.245722632551301,-28.41680040913171,0.0136777987955896,-0.0239260893740963,0.9996201578936722,4.842551708221436,1.7807555157203048,-5.4230089936312025,-29.02709018365044,0.0055822631897039,-0.0159302330198072,0.9997927609290952,4.861207723617554,6.796804989346511,True,0.0,imu,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,-88.5510396,177.1447524,113.508664,3785.49,-26.6739,False,0.99999995453616,-0.000301542166648,3772.12486640046,-24.488101268417328,-0.302626,True,1.359911000000011
