Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_3_x,hazard_3_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,distance_to_hazard,yaw_continuous,global_collision_flag,time_to_collision_flag
177.205254,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6227665379432479,0.4158293486477296,-302.5780824295106,145.3499657242201,1168.42432320676,27.11122930272874,-10.97604117407969,-26.71236400837315,-0.2464646735340635,0.1347936591066047,0.9597321679324916,4.22342586517334,-32.23553445090797,-9.322938139608102,-26.18195087645986,-0.2366665051950819,0.1155291682974192,0.9646978680349888,4.136916160583496,-2.5621525740896143,-10.149489656843896,-26.447157442416504,-0.2415655893645727,0.1251614137020119,0.9622150179837402,4.180171012878418,2.0999344920221934,True,0.0,imu,-0.8954347416000001,-9.844398782400004,1.3930978712,3.88062376,0.78456554,-5.05905619,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.968908143148522,-0.2474207148572706,5297.714631933306,7.663238302600187,3.171111612420884,179.768,False,inf
177.214038,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6227665379432479,0.4158293486477296,-302.5780824295106,145.3499657242201,1168.42432320676,27.11122930272874,-10.97604117407969,-26.71236400837315,-0.2464646735340635,0.1347936591066047,0.9597321679324916,4.22342586517334,-32.23553445090797,-9.322938139608102,-26.18195087645986,-0.2366665051950819,0.1155291682974192,0.9646978680349888,4.136916160583496,-2.5621525740896143,-10.149489656843896,-26.447157442416504,-0.2415655893645727,0.1251614137020119,0.9622150179837402,4.180171012878418,2.0999344920221934,True,0.0,imu,-0.8990236584000001,-9.842604324000002,1.3829292736,3.70865483,0.7546578999999998,-4.89456417,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.968908143148522,-0.2474207148572706,5297.714631933306,7.663238302600187,3.171111612420884,179.768,False,inf
177.218675,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6227665379432479,0.4158293486477296,-302.5780824295106,145.3499657242201,1168.42432320676,27.11122930272874,-10.97604117407969,-26.71236400837315,-0.2464646735340635,0.1347936591066047,0.9597321679324916,4.22342586517334,-32.23553445090797,-9.322938139608102,-26.18195087645986,-0.2366665051950819,0.1155291682974192,0.9646978680349888,4.136916160583496,-2.5621525740896143,-10.149489656843896,-26.447157442416504,-0.2415655893645727,0.1251614137020119,0.9622150179837402,4.180171012878418,2.0999344920221934,True,0.0,imu,-1.2656177057759497,-9.849292634084302,1.296998078161445,3.587584965284349,0.7453700396807139,-4.698863200652517,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.968908143148522,-0.2474207148572706,5297.714631933306,7.663238302600187,3.171111612420884,179.768,False,inf
177.222822,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6216832594085128,0.4092834472943695,-276.3628579840881,143.8742324413718,536.6827825296542,27.81989312921284,-10.953257988529698,-26.58356419424154,-0.2404429593503025,0.1408987173736465,0.9670134453731348,4.100959287047703,-31.356574332640893,-9.33513813427587,-26.010945831168875,-0.2397714296695673,0.1241693490666835,0.9679282466576208,4.025678209838075,-2.783519682479908,-10.21761916557767,-26.3304978327195,-0.2438114553608792,0.1365226626785603,0.9664382993332272,4.032606549769936,1.853158712729376,True,0.2674534939090666,imu,-0.9026125752,-9.8402117128,1.3673773008,3.65631646,0.66493498,-4.991764,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.9695733484567772,-0.2448009843981686,5297.714631933306,7.663238302600187,3.2159825069505024,179.768,False,inf
177.231605,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6217500131979105,0.4096785838053529,-275.941919918614,141.40866921057932,687.4301330836732,27.77509504848013,-10.953271259029185,-26.59135579973613,-0.2409231310460945,0.1406678684510452,0.9665248258413652,4.114258073981057,-31.454020664808315,-9.33264464591532,-26.02285348481404,-0.2395051283788243,0.1236838705758532,0.9677369985320898,4.039651767083299,-2.500819799465314,-10.210708117347226,-26.337233048958844,-0.2439798297773438,0.1358617377684185,0.9661621613954152,4.0474636163970095,2.082796324640913,True,0.15367439868465,imu,-0.9085941032,-9.837220948800002,1.3584050088,3.55163972,0.8294269999999999,-4.94690254,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.9695277211397614,-0.2449816277632696,5297.714631933306,7.663238302600187,3.2128901739021143,179.768,False,inf
177.238657,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6226059221068118,0.414732569358477,-289.6520564401633,140.7979590208817,1119.963959860366,27.12076778495748,-10.96117950494839,-26.71440353423333,-0.2458544755739067,0.1365295484589593,0.959643297917446,4.228497505187988,-32.22842894814458,-9.312661454148293,-26.18214900937116,-0.23599758564588,0.1167000699680623,0.9647208058494257,4.143453598022461,-2.557991577841583,-10.143205068196115,-26.447716857109373,-0.241245809987233,0.1258881114577613,0.962198534933588,4.183073282241821,2.0999344920221934,True,0.0,imu,-1.1685123077656694,-9.84943160839399,1.3208799809380298,3.1620079897703417,0.7583974640429233,-5.137325997239751,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.9690606889751217,-0.2468225700438731,5297.714631933306,7.663238302600187,3.181361440480371,179.768,False,inf
177.240389,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6217692564083458,0.410062365621294,-292.2527155473681,140.13526691305373,1196.0414250488452,27.724210654197165,-10.95320298492853,-26.599160240666595,-0.2413063280807277,0.1404427850061873,0.9660557730827134,4.127103582355376,-31.551262472666583,-9.330122649023448,-26.034347659717923,-0.2391534063254737,0.1232139916557847,0.9675557106697922,4.05321105749722,-2.3167134097643416,-10.20383447591564,-26.3438235218016,-0.2440532558983984,0.1352188224926328,0.9658993579661314,4.061868572057477,2.235543824258031,True,0.0582790787935968,imu,-0.9115848672,-9.840809865600002,1.3506290224,3.23013259,0.80699627,-4.86465653,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.9695046852038712,-0.2450727756560139,5297.714631933306,7.663238302600187,3.2113297663461453,179.768,False,inf
177.249173,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6217420564535624,0.4104349350174949,-295.81469836203894,139.57167687025262,1304.555066984189,27.668163360593493,-10.95305522002948,-26.60697465757808,-0.24159457995771,0.1402233890462231,0.9656060141616002,4.139501076487006,-31.647815395773872,-9.327573657244129,-26.045433587598293,-0.2387183198882315,0.1227595085289038,0.9673842326401816,4.066360154286344,-2.213023601773184,-10.196999962953662,-26.350270317030727,-0.244033824267723,0.1345937081414661,0.965649689518508,4.0758260989224055,2.325258791886676,True,-0.0203212727408194,imu,-0.9259405344,-9.8497821576,1.3446474944,3.1628404,0.86681155,-4.78241052,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.9695037861362532,-0.2450763323282564,5297.714631933306,7.663238302600187,3.2112688765215864,179.768,False,inf
177.257957,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6216694806461193,0.4107964781136841,-287.13891970689946,139.36245750193942,1127.7906368637662,27.60782706701956,-10.952830001065964,-26.61479710318646,-0.2417899567009571,0.1400095771096723,0.9651752221317842,4.151457308025344,-31.74323260746469,-9.324998886873658,-26.05611782679108,-0.2382018800158013,0.1223201636580005,0.9672223930504964,4.079104704287664,-2.173378943446401,-10.190205493720082,-26.356575263547168,-0.2439236298209673,0.1339861123125007,0.9654129262358933,4.089342549005551,2.364464236929261,True,-0.0836528256877558,imu,-0.9283331456,-9.85456738,1.3536197864,2.96096383,0.9415806499999996,-4.58053395,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.9695245440598522,-0.244994200881441,5297.714631933306,7.663238302600187,3.2126749321317027,179.768,False,inf
177.258748,-8.46515,-0.0153148,5299.21,7.25718,-0.000221888,-0.570278,179.768,1628.9,-0.000148394,-0.570172,151.821,-0.105369,-0.000221888,-1.90157,-0.00233301,-0.00352945,5.86375,-0.00105401,-8.46464,-0.0168366,5.86404,-180.232,-0.131482,-0.0110188,0.0,0.539658,-0.45,0.0,-1.0,0.164394,0.0,0.0,1779.95,-3.30369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.09,-0.0966621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979997,3.9609,5282.41,0.482171,0.0,0.0,0.0,0.0,26.5269,-0.356537,26.5269,0.0,30.7949,0.0,0.0,4476.3,27.6368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,22.58068731000889,gaze,0.6221526276855863,0.4139726228306481,-286.2206199192998,140.6578713255576,1110.848046194621,27.13327628070152,-10.94851675809313,-26.71638656828514,-0.244911262770687,0.1374769672642805,0.9597492155974306,4.228904724121094,-32.22011571842746,-9.30376335078392,-26.18220735615004,-0.2350712904442773,0.1175569358867303,0.9648429173879992,4.148531436920166,-2.5531342915153785,-10.13751673027692,-26.44824355881212,-0.2408276321939827,0.126431058163676,0.9622310454532972,4.184954881668091,1.8521451187822509,True,0.0,imu,-1.078159859922044,-9.849307728522266,1.3427401047236731,2.7544010902125304,0.8851693899877994,-5.069584159443115,62.5130604,-37.32354440000001,121.016092,5282.41,0.482171,False,-0.9692928168895564,-0.24590940430636,5297.714631933306,7.663238302600187,3.197004032163434,179.768,False,inf
