CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.4825079495564956,0.45749065009883,45.70783784032444,83.54409471766738,1167.143755861254,-30.53705117344986,-4.560061179946935,-31.93199785763807,0.0596487633166142,0.0816070320875041,0.9948780414446124,4.500829219818115,28.87669087355088,-3.292193449360567,-32.42125975778949,0.0176416422533405,0.0637118674800842,0.9978123923868684,4.005688667297363,-0.8301801499494896,-3.926127314653751,-32.17662880771378,0.0386452027849773,0.0726594497837941,0.9963452169157404,4.253258943557739,2.05732416788607,True,0.0,imu,-0.5042428104000001,-9.6470083584,1.6820056736,-2.04856587,-9.33169369,-6.098346680000001,266.1169492,-184.9085924,-338.3164296
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.4825079495564956,0.45749065009883,45.70783784032444,83.54409471766738,1167.143755861254,-30.53705117344986,-4.560061179946935,-31.93199785763807,0.0596487633166142,0.0816070320875041,0.9948780414446124,4.500829219818115,28.87669087355088,-3.292193449360567,-32.42125975778949,0.0176416422533405,0.0637118674800842,0.9978123923868684,4.005688667297363,-0.8301801499494896,-3.926127314653751,-32.17662880771378,0.0386452027849773,0.0726594497837941,0.9963452169157404,4.253258943557739,2.05732416788607,True,0.0,imu,-0.55329134,-9.6075302736,1.6981557992,-1.71958183,-8.7410178,-6.270315609999999,266.1169492,-184.9085924,-338.3164296
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.4825079495564956,0.45749065009883,45.70783784032444,83.54409471766738,1167.143755861254,-30.53705117344986,-4.560061179946935,-31.93199785763807,0.0596487633166142,0.0816070320875041,0.9948780414446124,4.500829219818115,28.87669087355088,-3.292193449360567,-32.42125975778949,0.0176416422533405,0.0637118674800842,0.9978123923868684,4.005688667297363,-0.8301801499494896,-3.926127314653751,-32.17662880771378,0.0386452027849773,0.0726594497837941,0.9963452169157404,4.253258943557739,2.05732416788607,True,0.0,imu,-0.44266248658759844,-9.700006623246868,1.71982306328252,-1.860626263152245,-7.686959102588256,-6.73719281654996,266.1169492,-184.9085924,-338.3164296
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.527853782714988,0.43747946962926454,56.35297263565189,83.23052855112505,1327.5471183171455,-31.484631077087545,-4.699264235138614,-31.959047200682797,-0.04569711155395871,0.08828700295728191,0.9777618478601869,4.513343327881485,28.569573533126615,-3.1470952013994054,-32.56859071282768,-0.007545897226226478,0.0907098891966496,0.988341016345512,4.088303619143844,-0.40582127070291435,-3.9963494364897096,-32.23345356731523,-0.05135822105582516,0.09385232030967887,0.9754587820614369,4.281366230169913,2.3141636452421497,True,-0.48734028180958106,imu,-0.6107140088,-9.587193078400002,1.7172966888,-1.48032071,-7.963419159999999,-6.49462291,266.1169492,-184.9085924,-338.3164296
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.5252950475389274,0.438054655097492,56.60761775477467,82.54376531124672,1337.9655237150293,-31.436003251320972,-4.693295075790284,-31.95554385001036,-0.0400955182567461,0.08763570854491524,0.9789444137799825,4.512323903193414,28.5809660471659,-3.1441138212462834,-32.57862912938454,-0.006045343866283958,0.09090160095852985,0.9887380659392356,4.0885912198968715,-0.49255529076026305,-3.988770763006672,-32.236793179181745,-0.046041396871124914,0.09315722048994914,0.9767602674193979,4.282018264816968,3.102119447736819,True,-0.03250679956728373,imu,-0.6196863008000001,-9.5842023144,1.7202874528,-1.11395212,-6.804498110000001,-6.644161110000001,266.1169492,-184.9085924,-338.3164296
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.5228169399702058,0.438603312014968,44.61982118670837,81.96406710842267,1164.640203544029,-31.388888945305208,-4.687360992189736,-31.952249683948203,-0.034666696688297735,0.08701326358399558,0.9800911515880295,4.511303574123252,28.59188612328494,-3.1409780129587896,-32.58856864584444,-0.004609887773303701,0.09109855505473187,0.9891216269444205,4.08890911609897,-0.573753432102352,-3.981216985243885,-32.24019685917259,-0.04089427678228541,0.09249328530531396,0.9780223913081486,4.282655739973248,3.0447083723439574,True,0.28982838218103557,imu,-0.6017417168000001,-9.5752300224,1.73464312,-0.67281443,-5.735299980000001,-6.89089914,266.1169492,-184.9085924,-338.3164296
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.4829297320723845,0.458471719786144,44.48481034226558,81.87892061796522,1162.6961014664853,-30.555137497074288,-4.540857891014742,-31.950048997193864,0.0581426399189819,0.0811260369180714,0.995005261043847,4.509145078746638,28.855532380426343,-3.24263157375284,-32.47351701872366,0.0174313414906667,0.0619035000903914,0.9979282331499284,4.010171247399669,-0.839991354136731,-3.908936023518771,-32.19420590783628,0.0382160967449008,0.0720871091440128,0.996405982006314,4.256458553315446,2.05732416788607,True,0.0,imu,-0.45942975203375935,-9.70018575953993,1.726546746728328,-0.700262303003443,-6.259868233000817,-6.741912443269687,266.1169492,-184.9085924,-338.3164296
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.5204181631549777,0.43912587497321937,39.496895927314625,81.33664426306406,1092.369586396714,-31.343264004050535,-4.681461616267093,-31.949160846022327,-0.029407892017519935,0.08641919795590981,0.9812026429674264,4.510282629567104,28.602341818042035,-3.137692202376506,-32.59840843717272,-0.003238389246970481,0.0913006795465772,0.9894919136377871,4.089256589103272,-0.649620768920537,-3.9736887161884473,-32.24366209470857,-0.03591410919340572,0.09186001821537289,0.9792457844816803,4.283278902753529,2.6837630679135978,True,0.49946698187009486,imu,-0.5814045216000001,-9.5997542872,1.752587704,-0.43355331,-4.98013207,-7.19745245,266.1169492,-184.9085924,-338.3164296
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.5180974316666319,0.43962277493097235,41.836233820938595,80.55425970818017,1133.3395493831003,-31.29910448359071,-4.6755965842185505,-31.946273515850475,-0.024316373447476697,0.0858530454581735,0.9822794644811483,4.509261354786924,28.612341114010537,-3.134260767327277,-32.60814769954531,-0.0019297190783812942,0.0915079028816342,0.98984913844916,4.089632928006949,-0.7203581190908444,-3.966186561001195,-32.247186403178645,-0.031098166731787325,0.09125692672233983,0.9804310722044188,4.283887998548355,2.384447849135828,True,0.6146002344830583,imu,-0.535346756,-9.6476065112,1.7669433712,-0.22419983,-4.29225635,-7.57129795,266.1169492,-184.9085924,-338.3164296
-9.8371,0.00934862,364.156,-25.6811,0.0125758,-0.663497,-0.498,765.121,-4.95298e-06,-0.631176,174.798,0.10708,0.0079383,0.930935,-0.00759805,-1.07542,2.75424,-0.0013755,-9.83621,0.00446671,2.75444,-0.498,0.268177,-0.0143183,0.0,0.246754,-1.224,0.0,-1.0,-0.0530733,1.6489,4.82283,384.051,-31.3755,0.0,7.07338e-21,0.0,-7.003139999999999e-20,36.4148,-0.434782,36.4148,0.0,27.3161,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.93980639864446,gaze,0.4833538789347088,0.4594582889631968,43.25492703440771,80.20441220899534,1158.223515275309,-30.57332520549581,-4.521546956018463,-31.96820132431874,0.056628073787589,0.0806423454794207,0.9951331937859802,4.517507553100586,28.83425528113414,-3.192791873817378,-32.52606721325267,0.0172198618648589,0.0600849957063219,0.9980447232706192,4.014678955078125,-0.8498392234847655,-3.891680487318488,-32.211848694819416,0.0377853871053418,0.0715126296269656,0.9964669741803092,4.259670120240083,2.587527902748384,True,0.0,imu,-0.47475537356174596,-9.700489445819825,1.7323858933202143,0.18598709960150364,-4.971353732156358,-6.711187993315024,266.1169492,-184.9085924,-338.3164296
