Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
93.634,-0.0668022,-0.0759067,1218.64,-9.66827,-0.0128667,-0.357051,0.399312,16437.4,-0.000561598,-0.356977,-0.122471,0.00556806,-0.0128667,-0.801763,-0.220593,-0.00246961,59.1735,-0.00794109,-0.066771,-0.0759165,59.1746,0.399312,-1.84948,-0.227192,0.0,0.111821,-1.647,-6.0,-1.0,0.398804,1.65,0.000186384,1325.41,-1.80966,0.0,2.20329e-19,0.0,1.2142e-23,3.8164,-1.69473e-05,3.8164,0.0,0.010055,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,80.90031681416886,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
93.65,-0.063099,-0.0873008,1218.91,-9.66648,-0.0164727,-0.356973,0.395419,16436.2,-0.00057394,-0.356899,-0.252631,0.00423157,-0.0164727,-0.798465,-0.230101,-0.00247154,59.1691,-0.0084695,-0.0630851,-0.08731,59.1702,0.395419,-1.95271,-0.257667,0.0,0.10853,-1.809,-18.0,-1.0,0.397509,1.65,0.000207725,1325.39,-1.80969,0.0,2.4058100000000003e-19,0.0,1.34155e-23,3.9114,-1.89599e-05,3.9114,0.0,0.0109051,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,80.63034984266406,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
93.666,-0.096037,-0.0923673,1219.17,-9.66472,-0.0202429,-0.356911,0.391032,16434.9,-0.000592608,-0.356837,0.123953,0.00349683,-0.0202429,-0.45783,-0.240232,-0.00247402,59.1646,-0.00897386,-0.0960487,-0.0923805,59.1658,0.391032,-2.32002,-0.289112,0.0,0.105239,-1.962,-6.0,-1.0,0.396222,1.65,0.000229067,1325.37,-1.80971,0.0,2.60833e-19,0.0,1.46889e-23,4.0064,-2.09726e-05,4.0064,0.0,0.0117553,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,80.37038227430797,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
93.682,-0.0717782,-0.104923,1219.43,-9.66297,-0.0241618,-0.356866,0.386133,16433.7,-0.000629807,-0.356792,-0.187149,0.00181656,-0.0241618,-1.11561,-0.249522,-0.00247659,59.1603,-0.00941923,-0.0717654,-0.104934,59.1614,0.386133,-2.30447,-0.321475,0.0,0.10853,-2.115,-6.0,-1.0,0.394946,1.65,0.000251626,1325.35,-1.80973,0.0,2.82004e-19,0.0,1.60811e-23,4.10142,-2.30826e-05,4.10142,0.0,0.0126414,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,80.11041485013605,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
93.698,-0.0909992,-0.106113,1219.7,-9.66126,-0.0282248,-0.356857,0.380714,16432.5,-0.000620616,-0.356783,0.100791,-0.000487881,-0.0282248,-0.215816,-0.257714,-0.0024794,59.1559,-0.00978467,-0.0909836,-0.106128,59.157,0.380714,-2.06706,-0.354056,0.0,0.10853,-2.259,-6.0,-1.0,0.393682,1.65,0.000279557,1325.33,-1.80976,0.0,3.07229e-19,0.0,1.79972e-23,4.19653,-2.56224e-05,4.19653,0.0,0.0136862,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,79.84044781129175,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
93.714,-0.0702605,-0.115076,1219.96,-9.65957,-0.0323996,-0.356873,0.37477,16431.3,-0.00063583,-0.356799,-0.0362139,-0.00109457,-0.0323996,-0.329728,-0.262822,-0.00248387,59.1516,-0.0101003,-0.070216,-0.11509,59.1527,0.37477,-2.37052,-0.38705,0.0,0.111821,-2.403,-6.0,-1.0,0.392432,1.65,0.000307487,1325.31,-1.80979,0.0,3.32454e-19,0.0,1.99132e-23,4.29164,-2.81622e-05,4.29164,0.0,0.014731,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,79.58048025756632,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
93.73,-0.0870521,-0.123979,1220.22,-9.65791,-0.0366401,-0.356903,0.368297,16430.1,-0.000632374,-0.356828,0.301564,-0.00214001,-0.0366401,-0.258567,-0.266915,-0.00248826,59.1473,-0.0103434,-0.0870245,-0.123995,59.1484,0.368297,-2.06623,-0.419927,0.0,0.111821,-2.538,-6.0,-1.0,0.391198,1.65,0.000335923,1325.29,-1.80981,0.0,3.58022e-19,0.0,2.1889300000000002e-23,4.38674,-3.07344e-05,4.38674,0.0,0.0157899,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,79.32051263253476,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
93.746,-0.0874217,-0.130065,1220.48,-9.65629,-0.0409358,-0.356945,0.361303,16428.9,-0.000673833,-0.35687,0.00162646,-0.00329469,-0.0409358,-0.024698,-0.269789,-0.00249298,59.1431,-0.0104921,-0.0874327,-0.130076,59.1442,0.361303,-1.68959,-0.452056,0.0,0.115112,-2.664,-6.0,-1.0,0.389982,1.65,0.000372031,1325.27,-1.80984,0.0,3.88814e-19,0.0,2.4776900000000002e-23,4.48181,-3.37985e-05,4.48181,0.0,0.0170628,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,79.06054482638041,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
93.762,-0.05394,-0.137542,1220.75,-9.6547,-0.0452726,-0.357014,0.353796,16427.8,-0.000609933,-0.356939,-0.285599,-0.00499352,-0.0452726,-0.0546364,-0.271554,-0.00249793,59.1389,-0.0105248,-0.0539111,-0.137552,59.14,0.353796,-2.20761,-0.484032,0.0,0.115112,-2.772,0.0,-1.0,0.388785,1.65,0.00040814,1325.25,-1.80987,0.0,4.1960500000000003e-19,0.0,2.76644e-23,4.57688,-3.68626e-05,4.57688,0.0,0.0183356,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,78.79057752352124,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
93.778,-0.0748814,-0.145497,1221.01,-9.65314,-0.0496374,-0.3571,0.345794,16426.6,-0.000615763,-0.357024,-0.0864162,-0.0061044,-0.0496374,0.056645,-0.27335,-0.00250364,59.1347,-0.0104527,-0.0748668,-0.145509,59.1358,0.345794,-1.82957,-0.514257,0.0,0.118403,-2.88,-6.0,-1.0,0.38761,1.65,0.000444248,1325.23,-1.8099,0.0,4.503960000000001e-19,0.0,3.0552e-23,4.67194,-3.99267e-05,4.67194,0.0,0.0196085,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,78.53060956556756,gaze,0.4836866699368521,0.4018043617686738,78.01418169767314,288.5171625992971,2085.738592863323,32.1435974955947,-12.25918042495068,-28.77461393468853,0.022619727101963,0.1445970653856928,0.9892320438742768,4.035725116729736,-31.13485067946837,-11.20437749008458,-28.36396313032449,0.0499050591003244,0.1363878304927808,0.9893977181950976,4.006196975708008,0.504373408063163,-11.73177895751763,-28.569288532506512,0.0362623931011437,0.1404924479392368,0.9893148810346872,4.020961046218872,1.4126691428844167,True,0.0,imu,-0.6292567456000001,-9.7151977776,2.1228442872,0.11973803,1.51730272,-3.2720747,82.2398956,-23.79796680000002,121.3090648
